physical,logical,blocks,bytes,min_cycles_100mhz,min_time_us_25mhz_spi
0,1,4,128,4096,40.96
1,2,56,1792,57344,573.44
2,3,8,256,8192,81.92
3,4,56,1792,57344,573.44
4,5,8,256,8192,81.92
5,6,56,1792,57344,573.44
6,7,8,256,8192,81.92
7,8,64,2048,65536,655.36
8,9,224,7168,229376,2293.76
9,10,32,1024,32768,327.68
10,11,224,7168,229376,2293.76
11,12,32,1024,32768,327.68
12,13,224,7168,229376,2293.76
13,14,32,1024,32768,327.68
14,15,512,16384,524288,5242.88
15,16,896,28672,917504,9175.04
16,17,128,4096,131072,1310.72
17,18,896,28672,917504,9175.04
18,19,128,4096,131072,1310.72
19,20,896,28672,917504,9175.04
20,21,128,4096,131072,1310.72
21,22,2560,81920,2621440,26214.40
22,23,3584,114688,3670016,36700.16
23,24,512,16384,524288,5242.88
24,25,3584,114688,3670016,36700.16
25,26,512,16384,524288,5242.88
26,27,3584,114688,3670016,36700.16
27,28,512,16384,524288,5242.88
28,29,4096,131072,4194304,41943.04
29,29,4096,131072,4194304,41943.04
30,30,1536,49152,1572864,15728.64
